Type,Code,Value,Comment
Reload,12,Memory inconsistency / Memory inconsistency,Not used right now but can be used if there is a problem allocating memory inside the engine
Reload,13,Action was aborted unexpectedly. / Invisible owner abort,Occurs when a fail check in memory allocation is triggered
Reload,14,Validation cannot be performed at the moment. Please try again later. / Prohibit validate,Validation not possible right now
Reload,15,Operation aborted / Request aborted,Operation was aborted internally in hypercube
Reload,16,"Connection lost. Make sure that Qlik Sense is running properly. If your session has timed out due to inactivity, refresh to continue working. / Unknown error",Message displayed in a dialog when the session has been killed/cannot be initialized due to unknown reasons.
Reload,17,This action is not supported in the current version of Qlik Sense. / Unsupported in product version,Happens if a method is called which is not supported in the product version.
Reload,18,An error occurred on a REST endpoint call. / Unknown error,Showed in Qlik Sense when there is a general problem with the REST connection such as HTTP timeout
Reload,19,The request exceeds the memory limit. / Memory limit reached,Showed in Qlik Sense when the request was aborted because of the reached memory limit
Reload,400,The request is invalid. / Bad Request,HTTP standardized error code; The request cannot be fulfilled due to bad syntax.
Reload,401,Access is denied: the authentication has failed or has not been provided. / Unauthorized,HTTP standardized error code
Reload,402,Payment is required. / Payment Required,HTTP standardized error code
Reload,403,Access is denied. / Forbidden,HTTP standardized error code; Forbidden;
Reload,404,The requested resource cannot be found. / Not Found,HTTP standardized error code; Not found
Reload,405,This method is not supported. / Method Not Allowed,HTTP standardized error code;Method not allowed
Reload,406,Not acceptable / Not Acceptable,HTTP standardized error code
Reload,407,Proxy authentication required / Proxy Authentication Required,HTTP standardized error code
Reload,408,The request has timed out. / Request Timeout,HTTP standardized error code
Reload,409,The request could not be completed due to a conflict. / Conflict,HTTP standardized error code
Reload,410,The requested resource is no longer available. / Gone,HTTP standardized error code
Reload,411,The content length of the request is required. / Length Required,HTTP standardized error code
Reload,412,The precondition has failed. / Precondition Failed,HTTP standardized error code; The server does not meet one of the preconditions that the requester put on the request.
Reload,413,The request entity is too large. / Request Entity Too Large,HTTP standardized error code
Reload,414,The request URL is too long. / Request-URI Too Long,HTTP standardized error code
Reload,415,The request entity's media type is not supported. / Unsupported Media Type,HTTP standardized error code
Reload,416,The requested range is not satisfiable. / Requested Range Not Satisfiable,"HTTP standardized error code; The client has asked for a portion of the file, but the server cannot supply that portion"
Reload,417,Expectation failed / Expectation Failed,HTTP standardized error code
Reload,500,Internal server error / Internal Server Error,"HTTP standardized error code; generic error message, no specific message is suitable."
Reload,501,The request method is not recognized or cannot be fulfilled. / Not Implemented,HTTP standardized error code; Not implemented
Reload,502,Bad gateway / Bad Gateway,HTTP standardized error code
Reload,503,The service is unavailable. / Service Unavailable,HTTP standardized error code
